brand_id	date	receipts_count
5152	2016-07-01	98
178	2016-07-01	234
29	2016-07-01	622
5152	2016-07-02	87
178	2016-07-02	185
29	2016-07-02	580
5152	2016-07-03	105
178	2016-07-03	190
29	2016-07-03	687
5152	2016-07-04	141
178	2016-07-04	196
29	2016-07-04	550
5152	2016-07-05	137
178	2016-07-05	336
29	2016-07-05	529
5152	2016-07-06	112
178	2016-07-06	408
29	2016-07-06	545
5152	2016-07-07	124
178	2016-07-07	397
29	2016-07-07	527
5152	2016-07-08	87
178	2016-07-08	370
29	2016-07-08	592
5152	2016-07-09	88
178	2016-07-09	282
29	2016-07-09	581
5152	2016-07-10	97
178	2016-07-10	264
29	2016-07-10	535
5152	2016-07-11	113
178	2016-07-11	285
29	2016-07-11	622
5152	2016-07-12	94
178	2016-07-12	293
29	2016-07-12	535
5152	2016-07-13	128
178	2016-07-13	287
29	2016-07-13	647
5152	2016-07-14	95
178	2016-07-14	279
29	2016-07-14	679
5152	2016-07-15	115
178	2016-07-15	267
29	2016-07-15	608
5152	2016-07-16	90
178	2016-07-16	250
29	2016-07-16	606
5152	2016-07-17	86
178	2016-07-17	229
29	2016-07-17	620
5152	2016-07-18	100
178	2016-07-18	263
29	2016-07-18	608
5152	2016-07-19	84
178	2016-07-19	265
29	2016-07-19	529
5152	2016-07-20	92
178	2016-07-20	223
29	2016-07-20	546
5152	2016-07-21	110
178	2016-07-21	197
29	2016-07-21	582
5152	2016-07-22	93
178	2016-07-22	178
29	2016-07-22	602
5152	2016-07-23	73
178	2016-07-23	158
29	2016-07-23	577
5152	2016-07-24	86
178	2016-07-24	186
29	2016-07-24	636
5152	2016-07-25	110
178	2016-07-25	190
29	2016-07-25	639
5152	2016-07-26	93
178	2016-07-26	190
29	2016-07-26	689
5152	2016-07-27	102
178	2016-07-27	182
29	2016-07-27	763
5152	2016-07-28	104
178	2016-07-28	190
29	2016-07-28	797
5152	2016-07-29	105
178	2016-07-29	194
29	2016-07-29	761
5152	2016-07-30	80
178	2016-07-30	143
29	2016-07-30	640
5152	2016-07-31	90
178	2016-07-31	187
29	2016-07-31	645
5152	2016-08-01	110
178	2016-08-01	191
29	2016-08-01	688
5152	2016-08-02	93
178	2016-08-02	217
29	2016-08-02	676
5152	2016-08-03	96
178	2016-08-03	215
29	2016-08-03	616
5152	2016-08-04	103
178	2016-08-04	192
29	2016-08-04	601
5152	2016-08-05	90
178	2016-08-05	199
29	2016-08-05	620
5152	2016-08-06	93
178	2016-08-06	177
29	2016-08-06	518
5152	2016-08-07	89
178	2016-08-07	173
29	2016-08-07	552
5152	2016-08-08	107
178	2016-08-08	202
29	2016-08-08	596
5152	2016-08-09	100
178	2016-08-09	324
29	2016-08-09	560
5152	2016-08-10	102
178	2016-08-10	421
29	2016-08-10	595
5152	2016-08-11	134
178	2016-08-11	448
29	2016-08-11	604
5152	2016-08-12	116
178	2016-08-12	445
29	2016-08-12	577
5152	2016-08-13	88
178	2016-08-13	386
29	2016-08-13	511
5152	2016-08-14	112
178	2016-08-14	399
29	2016-08-14	537
5152	2016-08-15	127
178	2016-08-15	408
29	2016-08-15	597
5152	2016-08-16	110
178	2016-08-16	353
29	2016-08-16	540
5152	2016-08-17	146
178	2016-08-17	223
29	2016-08-17	608
5152	2016-08-18	96
178	2016-08-18	236
29	2016-08-18	563
5152	2016-08-19	104
178	2016-08-19	227
29	2016-08-19	655
5152	2016-08-20	102
178	2016-08-20	190
29	2016-08-20	546
5152	2016-08-21	93
178	2016-08-21	215
29	2016-08-21	660
5152	2016-08-22	125
178	2016-08-22	204
29	2016-08-22	648
5152	2016-08-23	100
178	2016-08-23	455
29	2016-08-23	500
5152	2016-08-24	115
178	2016-08-24	583
29	2016-08-24	507
5152	2016-08-25	99
178	2016-08-25	606
29	2016-08-25	541
5152	2016-08-26	89
178	2016-08-26	608
29	2016-08-26	555
5152	2016-08-27	85
178	2016-08-27	525
29	2016-08-27	528
5152	2016-08-28	91
178	2016-08-28	512
29	2016-08-28	542
5152	2016-08-29	119
178	2016-08-29	561
29	2016-08-29	486
5152	2016-08-30	103
178	2016-08-30	574
29	2016-08-30	529
5152	2016-08-31	135
178	2016-08-31	422
29	2016-08-31	579
5152	2016-09-01	124
178	2016-09-01	404
29	2016-09-01	550
5152	2016-09-02	106
178	2016-09-02	399
29	2016-09-02	547
5152	2016-09-03	79
178	2016-09-03	334
29	2016-09-03	518
5152	2016-09-04	104
178	2016-09-04	408
29	2016-09-04	535
5152	2016-09-05	102
178	2016-09-05	392
29	2016-09-05	589
5152	2016-09-06	111
178	2016-09-06	373
29	2016-09-06	495
5152	2016-09-07	90
178	2016-09-07	382
29	2016-09-07	478
5152	2016-09-08	90
178	2016-09-08	378
29	2016-09-08	485
5152	2016-09-09	114
178	2016-09-09	381
29	2016-09-09	602
5152	2016-09-10	89
178	2016-09-10	323
29	2016-09-10	571
5152	2016-09-11	104
178	2016-09-11	370
29	2016-09-11	597
5152	2016-09-12	128
178	2016-09-12	365
29	2016-09-12	529
5152	2016-09-13	101
178	2016-09-13	248
29	2016-09-13	526
5152	2016-09-14	119
178	2016-09-14	239
29	2016-09-14	502
5152	2016-09-15	116
178	2016-09-15	267
29	2016-09-15	530
5152	2016-09-16	101
178	2016-09-16	267
29	2016-09-16	526
5152	2016-09-17	103
178	2016-09-17	227
29	2016-09-17	517
5152	2016-09-18	119
178	2016-09-18	286
29	2016-09-18	531
5152	2016-09-19	121
178	2016-09-19	230
29	2016-09-19	504
5152	2016-09-20	107
178	2016-09-20	192
29	2016-09-20	849
5152	2016-09-21	135
178	2016-09-21	209
29	2016-09-21	1042
5152	2016-09-22	110
178	2016-09-22	245
29	2016-09-22	1162
5152	2016-09-23	145
178	2016-09-23	240
29	2016-09-23	1151
5152	2016-09-24	110
178	2016-09-24	213
29	2016-09-24	1070
5152	2016-09-25	114
178	2016-09-25	223
29	2016-09-25	1053
5152	2016-09-26	129
178	2016-09-26	232
