city,floorNumber,floorsTotal,totalArea,price,rooms
Краснодар,1,5.0,18.0,5600000,2
Краснодар,1,5.0,15.0,4650000,1
Краснодар,1,5.0,11.9,2990000,3
Краснодар,1,7.0,18.4,4390000,2
Краснодар,2,5.0,17.6,4890000,4
Краснодар,5,9.0,21.5,8050000,3
Краснодар,5,9.0,21.5,8050000,3
Москва,1,3.0,29.0,15895000,1
Краснодар,5,8.0,28.8,10500000,1
Краснодар,1,5.0,25.2,4850000,8
Москва,5,9.0,29.0,8450000,1
Краснодар,2,9.0,29.5,8449999,1
Краснодар,5,8.0,28.8,10500000,1
Москва,12,30.0,30.0,9500000,1
Краснодар,4,5.0,32.6,8000000,2
Краснодар,3,5.0,30.0,9500000,1
Иркутск,9,12.0,31.0,11500000,1
Ярославль,2,9.0,31.0,9900000,1
Краснодар,8,8.0,31.0,10800000,1
Краснодар,3,8.0,30.7,8300000,2
Краснодар,7,9.0,32.0,8500000,1
Краснодар,2,5.0,30.3,8900000,1
Краснодар,8,8.0,32.0,10800000,1
Краснодар,3,6.0,32.3,11000000,1
Краснодар,3,10.0,31.2,11500000,1
Краснодар,3,10.0,31.2,11500000,1
Краснодар,3,10.0,31.2,11500000,1
Краснодар,5,5.0,31.0,8000000,1
Краснодар,2,5.0,30.0,8500000,1
Краснодар,3,5.0,31.0,9000000,2
Краснодар,3,9.0,32.8,10500000,1
Краснодар,2,5.0,32.0,10850000,1
Санкт-Петербург,2,9.0,31.0,11000000,1
Краснодар,4,8.0,31.6,14500000,2
Краснодар,8,9.0,34.5,9600000,1
Санкт-Петербург,5,9.0,33.0,8880000,1
Краснодар,5,8.0,33.4,9500000,1
Ярославль,1,12.0,34.7,6900000,1
Иркутск,4,9.0,33.2,9400000,1
Ярославль,10,12.0,34.8,9500000,1
Краснодар,4,6.0,33.5,16500000,1
Санкт-Петербург,5,9.0,33.0,8900000,1
Ярославль,6,9.0,33.0,9999999,1
Иркутск,8,16.0,34.0,10500000,1
Иркутск,14,24.0,33.0,11000000,1
Краснодар,4,9.0,33.0,11500000,1
Санкт-Петербург,11,12.0,37.74,16600000,1
Ярославль,2,14.0,36.0,12000000,1
Ярославль,10,14.0,35.0,10700000,1
Краснодар,3,8.0,36.1,11000000,1
Ярославль,9,12.0,36.0,11100000,1
Санкт-Петербург,10,12.0,37.45,16600000,1
Краснодар,1,9.0,36.9,9000000,1
Ярославль,3,5.0,35.3,9200000,1
Иркутск,5,17.0,36.5,9500000,1
Иркутск,12,17.0,37.8,10800000,1
Ярославль,10,12.0,35.0,11500000,1
Санкт-Петербург,3,7.0,36.5,13500000,1
Краснодар,3,7.0,36.5,13500000,1
Ярославль,1,12.0,35.0,7950000,1
Ярославль,3,12.0,36.0,8200000,1
Ярославль,5,12.0,35.7,8300000,1
Краснодар,7,9.0,37.4,9350000,1
Иркутск,2,12.0,35.3,9450000,1
Краснодар,8,14.0,36.0,9800000,1
Краснодар,4,9.0,37.2,10900000,1
Краснодар,3,8.0,36.0,12200000,1
Краснодар,8,8.0,36.6,13999000,4
Краснодар,5,12.0,36.0,15900000,1
Краснодар,9,9.0,36.1,16500000,1
Краснодар,2,7.0,35.0,16400000,1
Санкт-Петербург,11,12.0,37.74,22000000,1
Краснодар,6,9.0,36.0,9990000,1
Иркутск,3,12.0,38.0,14500000,1
Санкт-Петербург,7,12.0,39.1,17600000,1
Санкт-Петербург,10,25.0,39.0,9750000,1
Иркутск,1,10.0,39.0,10900000,1
Краснодар,3,7.0,39.1,9350000,3
Ярославль,1,9.0,38.0,8100000,2
Ярославль,9,16.0,38.0,8900000,1
Санкт-Петербург,14,17.0,38.0,9900000,1
Ярославль,1,12.0,38.1,9250000,1
Иркутск,7,9.0,38.0,9350000,1
Ярославль,10,12.0,38.8,9950000,2
Краснодар,5,7.0,39.4,10200000,3
Иркутск,9,17.0,38.7,11000000,1
Ярославль,8,14.0,39.0,12600000,2
Ярославль,12,12.0,39.2,13350000,5
Санкт-Петербург,4,7.0,39.0,21800000,1
Иркутск,8,12.0,38.0,8600000,1
Иркутск,17,17.0,38.0,8700000,1
Краснодар,5,12.0,38.0,10799000,1
Краснодар,2,14.0,38.0,13600000,1
Краснодар,8,9.0,38.0,13700000,1
Санкт-Петербург,34,36.0,38.0,11500000,1
Санкт-Петербург,50,65.0,40.0,20112960,1
Санкт-Петербург,50,65.0,40.0,20112960,1
Санкт-Петербург,51,65.0,40.0,20394000,1
Санкт-Петербург,52,65.0,40.0,20631940,1
Краснодар,3,8.0,42.7,12700000,4
Санкт-Петербург,5,14.0,40.14,15052500,1
Санкт-Петербург,11,13.0,40.0,19990000,2
Санкт-Петербург,11,13.0,40.0,19990000,1
Ярославль,1,5.0,42.3,10600000,3
Иркутск,5,12.0,40.0,8100000,1
Ярославль,3,12.0,40.0,10000000,1
Краснодар,2,5.0,41.5,10000000,1
Краснодар,3,5.0,41.0,10850000,2
Санкт-Петербург,24,42.0,40.0,11500000,1
Краснодар,9,14.0,42.0,12000000,1
Краснодар,4,5.0,42.6,12000000,3
Краснодар,1,3.0,42.0,12500000,4
Ярославль,1,9.0,40.1,12999990,1
Краснодар,6,13.0,40.0,13400000,1
Краснодар,3,5.0,40.4,14900000,2
Краснодар,2,9.0,42.5,15750000,1
Краснодар,7,8.0,42.4,15900000,3
Санкт-Петербург,5,12.0,40.0,17900000,1
Краснодар,5,8.0,40.0,26483149,1
Краснодар,5,9.0,42.0,10500000,3
Ярославль,8,12.0,40.0,11000000,1
Санкт-Петербург,5,14.0,42.0,11100000,2
Краснодар,7,9.0,42.1,12500000,3
Краснодар,10,12.0,41.0,13000000,1
Краснодар,1,5.0,44.0,10300000,3
Санкт-Петербург,6,6.0,44.0,21000000,1
Иркутск,6,12.0,44.4,12400000,1
Краснодар,2,5.0,44.0,10699999,3
Иркутск,6,12.0,44.0,12400000,3
Краснодар,8,9.0,43.0,13900000,3
Санкт-Петербург,5,5.0,44.9,16500000,1
Краснодар,4,5.0,43.1,10500000,4
Санкт-Петербург,7,14.0,44.8,11450000,3
Иркутск,6,12.0,44.4,12400000,2
Ярославль,6,12.0,44.4,12500000,2
Иркутск,3,9.0,44.7,13200000,3
Санкт-Петербург,3,44.0,46.0,13950000,1
Иркутск,8,12.0,45.0,10990000,3
Краснодар,2,9.0,47.0,13000000,1
Санкт-Петербург,31,44.0,45.4,14600000,1
Санкт-Петербург,37,44.0,45.6,15000000,1
Санкт-Петербург,44,44.0,45.5,18000000,1
Краснодар,6,8.0,45.0,13250000,3
Санкт-Петербург,7,18.0,45.3,16600000,1
Санкт-Петербург,3,13.0,45.0,19250000,1
Краснодар,3,8.0,45.0,9000000,2
Иркутск,3,12.0,45.0,11000000,3
Краснодар,2,6.0,45.2,13989000,1
Краснодар,4,8.0,46.0,14800000,1
Санкт-Петербург,13,16.0,47.3,16950000,1
Санкт-Петербург,7,18.0,45.3,17500000,1
Краснодар,3,6.0,46.0,18900000,1
Краснодар,2,6.0,46.9,18900000,1
Краснодар,6,9.0,45.0,20500000,1
Иркутск,8,12.0,45.0,10500000,3
Иркутск,4,17.0,45.0,14650000,1
Краснодар,2,7.0,46.2,15300000,1
Москва,7,15.0,46.0,16600000,1
Краснодар,4,6.0,45.0,18000000,1
Краснодар,1,12.0,46.0,18890000,1
Краснодар,1,12.0,46.0,18890000,1
Санкт-Петербург,5,17.0,46.5,18900000,5
Санкт-Петербург,3,12.0,45.0,19250000,1
Краснодар,5,5.0,46.0,16000000,2
Москва,24,44.0,49.2,14500000,1
Краснодар,4,9.0,48.3,12200000,2
Ярославль,9,12.0,48.3,13490000,1
Краснодар,4,7.0,49.5,13400000,1
Краснодар,5,8.0,48.0,14550000,2
